English,Hindi
; h p road,; एच पी रोड 
'nd main road,मेन रोड 
'saikrupa',साईंकृपा 
'saman',समन 
"""a"" bidyuth chakra pathagar road",ए' बिद्युत चक्र पाथागर रोड 
"""ban house""",बैन हाउस 
"""bmw house""",बीएमडब्लू हाउस 
"""devpath""",देवपथ 
"""green cross house"" s.no","""ग्रीन क्रॉस हाउस"" सीरियल नंबर "
"""profess house"" syan complex","""प्रोफ़ेस हाउस"" स्यान काम्प्लेक्स "
"""wonder city""",वंडर सिटी
(a.p),आन्ध्र प्रदेश 
(m.s.) india,(एम.एस.) भारत 
(punjab) india,पंजाब (भारत)
(u.k),(उत्तराखंड)
(w.b),पश्चिम बंगाल 
(west bengal) phone,(पश्चिम बंगाल) फ़ोन 
) karnataka,) कर्नाटक
) khira industrialestate santacruz west mumbai mh,) खीरा इंडस्ट्रियल स्टेट सांताक्रूज वेस्ट मुंबई महाराष्ट्र 
) new delhi pincode,) नई दिल्ली पिनकोड
/a barabagan lane serampor landmark- bani shahitya khelar math,"/बड़ाबागान लेन सेरामपोर, लैंडमार्क-वाणी साहित्य खेलर मठ"
/a khadayata society b/h balvatika kankana maninagar ahmedabad,"/ए खाद्यता सोसाइटी, बालवाटिका कनकाना मणिनगर के पीछे, अहमदाबाद"
/a/a,/ए /ए 
/b-k,/बी-के
/ff,/एफएफ
/glori menssion,/ग्लोरी मेंशिऑन 
%w/v,%w/v
<an1> + <an2> + <an3> price,<an1> + <an2> + <an3>  कीमत 
<an1> + <an2> + <an3> uses,<an1> + <an2> + <an3> के उपयोग 
<an1> <n1>k softgel capsule,<an1> <n1> के सॉफ्टजेल कैप्सूल
<an1> capsule also neutralizes the acid in the stomach and promotes easy passage of gas to reduce stomach discomfort,<an1> कैप्सूल पेट में एसिड को भी बेअसर करता है और गैस को कम करके पेट की परेशानी को दूर करता है
<an1> ginger capsule,<an1>जिंजर कैप्सूल
<an1> pharmaceuticals,<an1>फार्मास्युटिकल्स
<an1> syrup may be given before or after meals,<an1> सिरप को भोजन से पहले या बाद में दिया जा सकता है
<an1> tablet is a prescription medicine and it is to be taken it as suggested by the doctor,<an1> टैबलेट डॉक्टर की पर्ची से मिलने वाली दवा है और इसे डॉक्टर के सलाह के अनुसार ही लेना चाहिए
<an1> tablet should be taken in the dose and duration as advised by your doctor,<an1> टैबलेट को डॉक्टर द्वारा बताई गई खुराक और समय के अनुसार ही लेना चाहिए 
"<an1> tablet should be taken with food, but it must be taken at a fixed time to ensure better efficacy","<an1>टैबलेट को भोजन के साथ लिया जाना चाहिए, लेकिन रोजाना इसे एक निश्चित समय पर लेना ज्यादा फायदेमंद माना जाता है"
<an1>+<an2>+<n1> w/v,<an1> +<an2> +<n1> w/v
<an1>+<an2>+<n1>million spores,<an1>+<an2>+<n1> मिलियन स्पोर्स 
<n1> % costlier,<n1> % महंगा 
<n1> bottles in <n2> box, <n2> बॉक्स में <n1> बोतल 
<n1> capsule mr in <n2> box, <n2> बॉक्स में <n1> कैप्सूल एमआर 
<n1> creams in <n2> strip, <n2>  स्ट्रिप में <n1> क्रीम 
<n1> crine <n2>mcg tablet,<n1>  क्राइन <n2> एमसीजी टैबलेट 
<n1> diskettes in <n2> bottle,<n2> बोतल में <n1> डिस्केट 
<n1> drug mart,<n1> ड्रग मार्ट
<n1> elixirs in <n2> bottle,<n2> बोतल में <n1> एलिक्सिर 
<n1> eye drops in <n2> strip,<n2> स्ट्रिप में <n1> ऑय ड्रॉप्स 
<n1> film in <n2> packet,<n2> पैकेट में <n1> फिल्म 
<n1> foam in <n2> packet,<n2> पैकेट में <n1> फोम 
<n1> granules in <n2> sachet,<n2> सैशे में <n1> ग्रेन्यूल्स 
<n1> gum in <n2> packet,<n2> पैकेट में <n1> गम  
<n1> gummies in <n2> box,<n2> बॉक्स में <n1> गमीज   
<n1> infusion in <n2> ampoule,<n2> एम्पोल <n1> इन्फ्यूजन 
<n1> infusions in <n2> bottle,<n2> बोतल में <n1> इन्फ्यूजन 
<n1> inhaler in <n2> box,<n2> बॉक्स में <n1> इनहेलर 
<n1> injection is administered as an injection under the supervision of a doctor or a nurse and should not be self-administered,<n1> इंजेक्शन को डॉक्टर या नर्स की देखरेख में ही लगाना चाहिए और इसे कभी भी खुद से ना लगाएं
<n1> injection is also used to prevent stress ulcers in seriously ill patients and is administered before anesthetic medication to help prevent aspiration-related complications,<n1> इंजेक्शन का इस्तेमाल गंभीर रूप से बीमार रोगियों में स्ट्रेस अल्सर को रोकने के लिए भी किया जाता है और इसे एस्पिरेशन-संबंधी जटिलताओं को रोकने में मदद करने के लिए एनेस्थेटिक दवा से पहले लगाया जाता है
<n1> injection is not suitable for some people,<n1> इंजेक्शन सभी के लिए उपयुक्त नहीं है 
<n1> iu in <n2> vial,<n2> वायल में <n1> आईयू  
<n1> kit in <n2> vial,<n2> वायल में <n1> किट 
<n1> lb in <n2> bottle,<n2> बोतल में <n1> एलबी   
<n1> lotion in <n2> bottle,<n2> बॉटल में <n1> लोशन  
<n1> metic <n2> mg/<n3> mg tablet,<n1> मेटिक <n2> एमजी/<n3> एमजी टैबलेट 
<n1> mg in <n2> bottle,<n2> बॉटल में <n1> एमजी  
"<n1> mg/<n2> mg tablet should be taken with food, but it must be taken at a fixed time to ensure better efficacy",<n1> mg/<n2> एमजी टैबलेट को भोजन के साथ में लेना चाहिए लेकिन इसे रोजाना एक निश्चित समय पर लेना ज्यादा बेहतर माना जाता है
<n1> mg+<n2> <an1>,<n1> mg+<n2> <an1>
<n1> ml in <n2> roll-on bottle,<n2> रोल -ऑन बॉटल में <n1> एमएल   
<n1> ml in <n2> sachet,<n2> सैशे में <n1> एमएल   
<n1> mouth wash in <n2> packet,<n2> पैकेट में <n1> माउथ वाश   
<n1> ophthalmic solution in <n2> bottle,<n2> बॉटल में <n1> ओफ्थाल्मिक सॉल्यूशन   
<n1> oral drops in <n2> bottle,<n2> बॉटल में <n1> ओरल ड्रॉप्स   
<n1> oral gel in <n2> tube,<n2> ट्यूब में <n1> ओरल जेल 
<n1> oral solutions in <n2> box,<n2> बॉक्स में <n1> ओरल सॉल्यूशन 
<n1> oral suspensions in <n2> bottle,<n2> बॉटल में <n1> ओरल सस्पेंशन 
<n1> paint in <n2> bottle,<n2> बॉटल में <n1> पेंट   
<n1> paints in <n2> bottle,<n2> बॉटल में <n1> पेंट्स   
<n1> patch in <n2> packet,<n2> पैकेट में <n1> पैच   
<n1> patches in <n2> packet,<n2> पैकेट में <n1> पैच   
<n1> pouch,<n1> पाउच 
<n1> pouches,<n1> पाउच 
<n1> powder for injection in <n2> strip,<n2> स्ट्रिप में <n1> पाउडर फॉर इंजेक्शन 
<n1> powder for oral suspension in <n2> vial,<n2> वायल में <n1> पाउडर फॉर ओरल सस्पेंशन 
<n1> prefilled syringe in <n2> vial,<n2> वायल में <n1> प्रीफिल्ड सिरिंज 
<n1> prefilled syringes in <n2> packet,<n2> पैकेट में <n1> प्रीफिल्ड सिरिंज 
