English,Hindi
"side effect of quadriderm af is application site reactions (burning, irritation, itching and redness)","क्वाड्रिडर्म एएफ का साइड इफेक्ट एप्लीकेशन साइट रिएक्शंस (बर्निंग, जलन, खुजली एंड रेडनेस) है"
"dub <n1> tablet cr is used in pain during menstruation, endometriosis and heavy menstrual bleeding","डब <n1> टैबलेट सीआर का इस्तेमाल पीरियड या माहवारी में होने वाला दर्द, एंडोमेट्रिओसिस and मेनोरेजिया (माहवारी के दौरान ज्यादा खून निकलना) में किया जाता है"
"however, the use of onace-tp tablet is not recommended in patients with severe liver disease and active liver disease","हालांकी, गंभीर लीवर संबंधित रोग एंड एक्टिव लीवर संबंधित रोग से पीड़ित मरीजों को ओनेस-टीपी टैबलेट का इस्तेमाल न करने की सलाह दी जाती है"
"onace-tp tablet: view uses, side effects, price and substitutes | <n1>mg","ओनेस-टीपी टैबलेट: उपयोग, साइड इफ़ेक्ट, कीमत और विकल्प देखें | <n1>mg"
marktel <n1>mg tablet should be used with caution in patients with severe kidney disease,गंभीर गुर्दे की बीमारी से पीड़ित मरीज सावधानी के साथ मार्कटेल <n1>mg टैबलेट का इस्तेमाल करें
ocona-z lotion is used in the treatment of fungal skin infections,ओकोना-ज़ेड लोशन का इस्तेमाल त्वचा में फंगल इन्फेक्शन के इलाज में किया जाता है
"side effect of ocona-z is application site reactions (burning, irritation, itching and redness)","ओकोना-ज़ेड का साइड इफेक्ट एप्लीकेशन साइट रिएक्शंस (बर्निंग, जलन, खुजली एंड रेडनेस) है"
kipnol plus tablet is used for preventive treatment of migraine,किप्नोल प्लस टैबलेट का इस्तेमाल प्रिवेंटिव ट्रीटमेंट ओएफ माइग्रेन में होने वाला सिरदर्द के लिए किया जाता है
"maricalm t tablet can cause blurring of vision, dizziness, mild nausea, and mental confusion in some cases","मैरिकल टी टैबलेट से नज़रों का धुंधलापन, चक्कर आना, हल्का जी मिचलाना, और कुछ मामलों में दिमागी उलझन हो सकते हैं"
maricalm t tablet is used in the treatment of schizophrenia,मैरिकल टी टैबलेट का इस्तेमाल स्किजोफ्रेनिया के इलाज में किया जाता है
"novalept chrono <n1>mg tablet cr is used for seizures, migraine and mania","नोवेलेपीटी क्रोनो <n1>mg टैबलेट सीआर घबराहट, माइग्रेन और पागलपन के लिए इस्तेमाल होता है"
novalept chrono <n1>mg tablet cr is probably safe to use in patients with kidney disease,गुर्दे की बीमारी से पीड़ित मरीजों के लिए नोवेलेपीटी क्रोनो <n1>mg टैबलेट सीआर का इस्तेमाल संभवतः सुरक्षित हो सकता है
fentinol <n1>mg tablet is used in the treatment of epilepsy/seizures,फेनटिनोल <n1>mg टैबलेट का इस्तेमाल मिरगी/दौरे पड़ना के इलाज में किया जाता है
urotam <an1> tablet is used in the treatment of benign prostatic hyperplasia,अरोटैम <an1> टैबलेट का इस्तेमाल बिनाइन प्रोस्टेटिक हाइपरप्लासिया के इलाज में किया जाता है
"however, limited information is available on the use of urotam <an1> tablet in patients with end stage kidney disease",किडनी के मरीज जिनकी हालत अंतिम चरण या स्टेज में है उनको अरोटैम <an1> टैबलेट दवा देने के बारे में सीमित जानकारी उपलब्ध है
"sigmaderm cream is a combination of three medicines: beclometasone, clotrimazole and gentamicin","सिग्मैडर्म क्रीम तीन दवाओं का संयोजन होता है: बेक्लोमेटैसोन,क्लोट्रिमाजोल और जेंटामाइसिन"
sigmaderm cream,सिग्मैडर्म क्रीम
"sigmaderm cream: view uses, side effects, price and substitutes | <n1>mg","सिग्मैडर्म क्रीम: उपयोग, साइड इफ़ेक्ट, कीमत और विकल्प देखें | <n1>mg"
"asmaril syrup is a combination of four medicines: bromhexine, guaifenesin, menthol and terbutaline","ऐस्मैरिल सिरप चार दवाईंयों का मिश्रण है: ब्रोम्हेक्साइन, गुअइफ़ेनेसिन, मेन्थोल और टरबुटालाइन"
doxyrose <n1>mg capsule is used in the treatment of bacterial infections,डॉक्सीरोज <n1>mg कैप्सूल का इस्तेमाल बैक्टीरिया से होने वाले संक्रमण के इलाज में किया जाता है
lincef tablet is used in the treatment of bacterial infections,लिन्सैफ टैबलेट का इस्तेमाल बैक्टीरिया से होने वाले संक्रमण के इलाज में किया जाता है
