English,Hindi
It also reduces inflammation in the airways and make breathing easier,यह श्वासमार्ग में सूजन को कम करता है जिससे सांस लेना आसान हो जाता है
$name is taken with or without food in a dose and duration as advised by the doctor,$name को डॉक्टर द्वारा सलाह दी गई खुराक और अवधि के अनुसार भोजन के साथ या बिना भोजन के लिया जाता है
The dose you are given will depend on your condition and how you respond to the medicine,डोज़ आपकी कंडीशन और दवा के प्रति आपके रिसपॉन्स पर निर्भर करेगी
You should keep taking this medicine for as long as your doctor recommends,डॉक्टर द्वारा निर्धारित अवधि तक इस दवा का सेवन जारी रखें
If you stop treatment too early your symptoms may come back and your condition may worsen,अगर आप इलाज को जल्दी रोकते हैं तो आपके लक्षण वापस आ सकते हैं और आपकी स्थिति और भी खराब हो सकती है
" Let your healthcare team know about all other medications you are taking as some may affect, or be affected by this medicine",अपनी हेल्थकेयर टीम को अन्य सभी दवाओं के बारे में बताएं जो आप ले रहे हैं क्योंकि वह दवाएं इस दवा को प्रभावित या इससे प्रभावित हो सकती हैं
"The most common side effects are nausea, diarrhea, vomiting, dryness in the mouth, headache, skin rash, flu-like symptoms, and fatigue","सबसे सामान्य साइड इफेक्ट मिचली आना , डायरिया (दस्त), उल्टी, मुंह सूखना, सिर दर्द, त्वचा पर रैश , फ्लू-जैसे लक्षण और थकान हैं"
Most of these are temporary and usually resolve with time,इनमें से अधिकांश अस्थायी होते हैं और आमतौर पर समय के साथ सही हो जाते हैं
Contact your doctor straight away if you are at all concerned about any of these side effects,अगर आप इनमें से किसी भी साइड इफेक्ट को लेकर चिंतित हैं तो अपने डॉक्टर से बात करें
" This medicine may cause dizziness and sleepiness, so do not drive or do anything that requires mental focus until you know how this medicine affects you",इस दवा से आपको चक्कर या नींद आ सकती है
Avoid drinking alcohol while taking this medicine as it can worsen your sleepiness," इसलिए, जब तक आप यह न जान लें कि यह दवा आपको कैसे प्रभावित करती है, तब तक ड्राइव या ऐसा कोई काम न करें जिसमें मानसिक फोकस की आवश्यकता होती है"
Never support self-medication or recommend your medicine to another person,यह दवा लेने के दौरान शराब पीने से बचें क्योंकि इससे आपको अधिक नींद आ सकती है
It is beneficial to have plenty of fluids while taking this medication,सेल्फ-मेडिकेशन का समर्थन न करें या किसी दूसरे व्यक्ति को अपनी दवा का सुझाव न दें
Before you start taking this medicine it is important to inform your doctor if you are suffering from kidney disease,यह दवा लेते समय बहुत सारे फ्लुइड्ज़ लेना फायदेमंद है
$name is an antibiotic that fights bacteria,$name एक एंटीबायोटिक है जो बैक्टीरिया से लड़ता है
It is used to treat certain types of serious infections caused by bacteria when other antibiotics cannot be used,इसका इस्तेमाल बैक्टीरिया से होने वाले कुछ ख़ास किस्म के गंभीर संक्रमण के इलाज में तब किया जाता है जब अन्य एंटीबायोटिक का इस्तेमाल नहीं किया जा सकता है
It works by killing the bacteria that cause these problems,यह ऐसी समस्याओं का कारण बनने वाले बैक्टीरिया को मारकर काम करता है
" However, it will not treat a viral infection"," हालांकि, यह किसी वायरल इन्फेक्शन को ठीक नहीं करेगा"
$name may be effective even when bacteria have developed resistance to other antibiotics,बैक्टीरिया के अन्य एंटीबायोटिक्स के सामने प्रतिरोधक होने के बाद भी $name प्रभावी हो सकता है
It should be taken on an empty stomach,इसे खाली पेट लेना चाहिए
You should take it regularly at evenly spaced intervals as per the schedule prescribed by your doctor,डॉक्टर द्वारा निर्धारित शेड्यूल के अनुसार आपको नियमित रूप से समान अंतराल पर इसे लेना चाहिए
Taking it at the same time every day will help you to remember to take it,इसे रोज एक ही समय पर लेने से आपको इसे लेना याद रहेगा
" The dose will depend on what you are being treated for, but you should always complete a full course of this antibiotic as prescribed by your doctor"," डोज़ इस बात पर निर्भर करेगी कि आप इसे किस लिए ले रहे हैं, लेकिन आपको अपने डॉक्टर द्वारा बताए गए अनुसार इस एंटीबायोटिक का कोर्स हमेशा पूरा करना चाहिए"
" Do not stop taking it until you have finished, even when you feel better"," जब तक आप पूरा न कर लें, तब तक इसे लेना बंद न करें, भले ही आपको बेहतर महसूस होने लगा हो"
" If you stop taking it early, some bacteria may survive and the infection may come back"," अगर आप इसे समय से पहले लेना बंद करते हैं, तो कुछ बैक्टीरिया जीवित रह सकते हैं और इन्फेक्शन वापस आ सकता है"
"Some people may develop side effects like vomiting, nausea, diarrhea, taste change","कुछ लोगों में उल्टी, मिचली आना , डायरिया (दस्त), और स्वाद में बदलाव जैसे साइड इफेक्ट हो सकते हैं"
These side effects are usually temporary and go away during treatment as your body adjusts to the medicine,ये साइड इफेक्ट आमतौर पर अस्थायी होते हैं और इलाज के दौरान दूर हो जाते हैं जब आपका शरीर दवा के अनुसार एडजस्ट हो जाता है
Consult your doctor if these side effects bother you or do not go away,अगर ये साइड इफेक्ट आपको परेशान करते हैं या नहीं जाते हैं तो डॉक्टर से परामर्श करें
"Before starting treatment with this medicine, you should tell your doctor if you have liver or kidney problems or if you are allergic to any antibiotic","यदि आप लिवर या किडनी की किसी समस्या से पीड़ित हैं या आपको किसी एंटीबायोटिक दवा से एलर्जी है तो इस दवा से इलाज शुरू करने से पहले, आपको अपने डॉक्टर को इस बारे में बताना चाहिए"
" While using it, your doctor may advise some blood tests to monitor your blood cell counts"," इसका इस्तेमाल करते समय, आपके डॉक्टर ब्लड सेल काउंट की निगरानी करने के लिए कुछ ब्लड टेस्ट की सलाह दे सकते हैं"
